,specialty,university,mark_mean_years,placesCount_years,budgetCount_years,contractCount_years,budget_mark_mean_years,abit_count_years,mark_max_years,mark_min_years,budget_mark_max_years,budget_mark_min_years
68973,Економіка,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,168.1739086839749,330.0,61.60608773500448,179.21217547000896,186.31381204615536,1147.9907490301403,200.0,118.0785735601313,196.96384661295136,153.23318412414204
70310,Екологія,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,149.5838744394619,44.27503736920777,22.32137518684604,14.617339312406576,162.69970301355968,136.9133034379671,186.03763826606877,114.52813751868459,176.83029596412555,142.11521973094173
70439,Галузевемашинобудування,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,152.25710205696205,95.68433544303798,54.37262658227848,27.621835443037973,153.70997220531112,196.1155063291139,190.26542088607596,116.72245727848103,182.17995965189874,130.75087737341772
71064,Видавництвотаполіграфія,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,157.64446264367814,176.80316091954023,53.16379310344828,83.4985632183908,172.01341692789967,232.8994252873563,192.722816091954,112.46573275862067,189.8488002873563,151.08402586206898
71315,Біотехнологіїтабіоінженерія,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,163.05574564459926,95.0,95.0,1014747276.0029866,182.62710971194144,1004.5301144848183,200.0,114.89835739173718,200.0,149.88809955201592
72314,Біомедичнаінженерія,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,165.19423002958575,120.0,34.0,48.22485207100592,184.75887075488612,478.50887573964496,199.61819526627218,118.71346153846154,197.13583136094672,157.3606301775148
72670,Атомнаенергетика,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,157.09885067873302,56.92307692307692,48.0,5.280542986425339,154.59284801021,148.05882352941177,192.88508371040726,114.8487556561086,188.35618325791856,126.70842307692305
72815,Авіоніка,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,160.39271462829737,59.568345323741006,27.913669064748202,19.995203836930454,166.97243872679633,139.99760191846522,193.99009112709834,119.89105995203838,189.78731175059954,148.3221175059952
72966,Авіаційнатаракетно,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,161.03534924965894,45.391541609822646,42.44338335607094,2.5743519781718964,172.16288896335277,246.3806275579809,198.0739113233288,119.40388813096862,195.70313369713506,148.757312414734
73205,Автоматизаціятакомп’ютерно,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,160.1590265463917,150.0603092783505,79.5569587628866,47.36546391752577,167.81631100624972,566.0041237113402,194.0899304123711,115.0044175257732,188.92247577319588,145.38334587628864
74542,Інформаційнісистемитатехнології,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,172.2734199679413,300.0,206.2789100068697,66.51339592397527,184.65055943086338,1456.5653766888024,200.0,115.53377604762996,195.97613922601326,134.82956262880694
75959,Інженеріяпрограмногозабезпечення,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,172.42886752536035,169.95855579284571,104.46402829684997,42.19794447410571,191.56535242147157,2050.183128670582,200.0,116.84035304324614,199.1380772824346,154.0872563400961
81306,Хімія,Львівський національний університет імені Івана Франка,173.2201855388813,120.0,80.05593451568895,39.944065484311054,179.3245570869965,246.94270122783084,200.0,114.79578990450204,200.0,148.19556070941337
81586,"Фінанси,банківськасправатастрахування",Львівський національний університет імені Івана Франка,165.33309370725036,326.8536251709986,67.81121751025992,259.0424076607387,181.3957654969002,518.2599179206567,199.27356976744184,111.41758207934336,193.50019664842682,164.21515560875514
82785,Філософія,Львівський національний університет імені Івана Франка,162.19700491400488,78.64864864864865,28.0,50.648648648648646,180.88257444717445,274.6068796068796,200.0,118.02121621621622,184.7964312039312,178.22209213759214
83093,Філологія,Львівський національний університет імені Івана Франка,173.83774393727987,144.8849910304963,48.95508604079463,95.92990498970168,191.36966046805995,1478.6098598099793,199.9998325692645,125.10185183708724,197.98380001328817,171.9005948441964
88832,Фізикатаастрономія,Львівський національний університет імені Івана Франка,152.44761046511633,112.20930232558139,39.56395348837209,72.6453488372093,151.9552934057528,97.17441860465117,200.0,111.51141279069768,196.69520348837207,127.4016453488372
88949,Туризм,Львівський національний університет імені Івана Франка,159.6767603108192,110.20203227734609,23.90376569037657,86.29826658696952,187.99662848432985,1554.3305439330543,200.0,109.70087089061566,196.59450268977884,151.93139689181112
91048,Статистика,Львівський національний університет імені Івана Франка,170.60116455696206,49.74683544303797,19.21518987341772,30.531645569620252,175.43125316455695,52.68354430379747,196.36032911392405,124.94645569620253,187.21293670886072,163.60934177215188
91100,Соціологія,Львівський національний університет імені Івана Франка,163.80725,54.51117318435754,23.78491620111732,30.726256983240223,179.8247833200319,319.6731843575419,197.73463128491622,116.25952932960892,189.83807681564244,135.45345670391063
91535,Соціальнаробота,Львівський національний університет імені Івана Франка,157.62388907284767,45.38079470198676,24.572847682119207,20.807947019867548,174.50953989217186,202.47682119205297,196.40640397350995,113.96292715231787,187.19905629139072,166.99193046357615
91757,Системнийаналіз,Львівський національний університет імені Івана Франка,173.45993037974685,71.0506329113924,55.90759493670886,15.143037974683544,184.50359086615916,529.5278481012658,199.7729759493671,115.88677974683544,198.0938683544304,171.23128924050633
92330,"Підприємництво,торгівлятабіржовадіяльність",Львівський національний університет імені Івана Франка,164.03908277830644,91.49381541389153,30.835394862036157,60.65842055185538,181.7638900624664,355.09134157944817,200.0,111.22611037107518,196.5009248334919,175.2646784015224
92738,Публічнеуправліннятаадміністрування,Львівський національний університет імені Івана Франка,161.05272948328272,71.76595744680851,8.717325227963526,63.048632218844986,188.91007269503547,229.89361702127658,195.2863313069909,120.12425379939211,192.53302887537996,185.8445425531915
92903,Психологія,Львівський національний університет імені Івана Франка,162.25309697344034,99.51327980234713,35.807288449660284,63.705991352686844,184.7047108532604,542.4243360098826,198.70470784434838,114.29457257566399,197.33985176034588,164.67884805435455
93401,Прикладнафізикатананоматеріали,Львівський національний університет імені Івана Франка,157.34746521739132,68.21739130434783,24.62608695652174,43.59130434782609,156.32382176455633,86.54782608695652,197.00451739130438,118.58262608695652,190.19398695652174,132.97985217391306
93505,Прикладнаматематика,Львівський національний університет імені Івана Франка,177.42697413249212,75.72870662460568,48.206309148264985,27.522397476340693,181.69001720269685,371.38359621451104,200.0,127.01222712933755,196.75823217665615,163.2819249211356
94170,Право,Львівський національний університет імені Івана Франка,170.1872307385759,488.0924548352816,214.17574388947926,273.9167109458023,190.96806123400714,2523.8961211477153,200.0,115.14975039851223,200.0,154.75129861849098
96842,Політологія,Львівський національний університет імені Івана Франка,169.8094909190973,68.76719867914144,28.0,40.767198679141444,190.35146193883168,618.7930654925701,200.0,112.246228398459,197.0103500275179,182.51964391854708
